Fragmento,Codigo,Categoria,Participante
"Uso de una plataforma veterinaria integral (PECACMICS) para citas, inventario y fichas médicas",Uso de sistema veterinario integral,Usabilidad y desempeño,P02
Errores de tipeo en el sistema dificultan encontrar el historial de un paciente,Dificultad de búsqueda por errores de digitación,Historia clínica y gestión de pacientes,P02
"Facturación integrada en la plataforma, depende de completar los datos correctamente",Facturación condicionada al registro correcto de datos,Gestión administrativa y financiera,P02
Las inasistencias perjudican el ingreso económico y obligan a reprogramar citas,Inasistencias afectan ingresos y reprogramación,Citas y comunicación con propietarios,P02
El seguimiento post-consulta se hace por mensajería (canal impreciso en la transcripción),Seguimiento posterior mediante mensajería,Citas y comunicación con propietarios,P02
La plataforma no alerta vencimientos; el control depende de revisión manual en el módulo de inventario,Control manual de vencimientos sin alertas,Inventario,P02
El peso se registra en cartillas físicas entregadas al paciente en cada consulta,Registro físico del peso del paciente,Historia clínica y gestión de pacientes,P02
"Las recomendaciones de alimentación se dan verbalmente en consulta, sin guía formal",Orientación nutricional verbal no estandarizada,Historia clínica y gestión de pacientes,P02
Estima que solo ~60% de los dueños cumple las indicaciones al pie de la letra,Adherencia parcial de propietarios a indicaciones,Citas y comunicación con propietarios,P02
Ajusta la medicación por teléfono cuando no puede ver al paciente por falta de tiempo o disponibilidad,Ajuste remoto de medicación por limitación de disponibilidad,Historia clínica y gestión de pacientes,P02
"Desacuerdo con que un sistema de IA sugiera diagnósticos, porque los parámetros varían caso a caso",Rechazo a diagnósticos sugeridos automáticamente por IA,Inteligencia Artificial,P02
Mayor carga de trabajo en programar citas y avisos/recordatorios de laboratorio,Alta carga en agendamiento y recordatorios,Citas y comunicación con propietarios,P02
"Aceptaría sugerencias de IA como apoyo (confianza moderada), pero la decisión final es del médico",IA aceptada como apoyo bajo decisión profesional,Inteligencia Artificial,P02
Prioriza que los datos de los pacientes estén protegidos y que exista soporte técnico disponible,Protección de datos y soporte como prioridad,Seguridad,P02
Necesita recordatorios automáticos de citas porque los dueños se olvidan por trabajo o estudios,Necesidad de recordatorios automáticos de citas,Citas y comunicación con propietarios,P02
No anticipa resistencia a adoptar una nueva herramienta si mejora el servicio,Disposición favorable a adoptar una herramienta útil,Usabilidad y desempeño,P02
Prefiere acceder a la herramienta principalmente desde el celular,Preferencia de uso desde teléfono móvil,Usabilidad y desempeño,P02
Nunca ha tenido problemas de conectividad en la clínica,Conectividad clínica estable,Usabilidad y desempeño,P02
"El historial clínico se lleva en fichas físicas impresas, sin respaldo en la nube",Historia clínica en papel sin respaldo digital,Historia clínica y gestión de pacientes,P07
"En urgencias, los dueños alterados no dan información clara sobre síntomas u origen del problema",Información incompleta del propietario en emergencias,Historia clínica y gestión de pacientes,P07
La facturación se gestiona sin complicaciones a través del sistema del SRI,Facturación funcional mediante sistema del SRI,Gestión administrativa y financiera,P07
Pocos faltantes de inventario; revisión periódica de fechas de caducidad de productos,Revisión periódica de inventario y caducidad,Inventario,P07
Baja tasa de inasistencia porque los pacientes llegan sin pedir cita previa,Baja inasistencia por atención sin cita previa,Citas y comunicación con propietarios,P07
La comunicación de resultados y seguimiento se coordina por WhatsApp,Seguimiento y entrega de resultados por WhatsApp,Citas y comunicación con propietarios,P07
"La ficha registra nombre, peso, edad, esterilización, vacunación, motivo de consulta y datos del propietario",Registro clínico con datos básicos del paciente y propietario,Historia clínica y gestión de pacientes,P07
"Los dueños consultan sobre alimentación solo cuando la mascota ya está enferma, desconociendo alimentos dañinos (ej. cebolla)",Consulta nutricional tardía y desconocimiento de alimentos dañinos,Historia clínica y gestión de pacientes,P07
"Bajo cumplimiento de indicaciones, en parte por no poder costear la hospitalización",Baja adherencia por limitaciones económicas del propietario,Citas y comunicación con propietarios,P07
Dificultad para diagnosticar a distancia solo con fotos enviadas por el dueño,Limitación del diagnóstico remoto basado solo en fotografías,Historia clínica y gestión de pacientes,P07
No utiliza ningún software veterinario especializado,Ausencia de software veterinario especializado,Usabilidad y desempeño,P07
Postura neutral (3/5) sobre que la IA sugiera diagnósticos,Posición neutral ante diagnóstico asistido por IA,Inteligencia Artificial,P07
Mayor carga de trabajo en el seguimiento de pacientes que ya se fueron a casa,Carga de trabajo en seguimiento posterior al alta,Citas y comunicación con propietarios,P07
Confianza moderada: usaría la IA como apoyo pero siempre con validación propia,IA como apoyo con validación del veterinario,Inteligencia Artificial,P07
Prioriza poder revisar y corregir las sugerencias de la IA antes de aplicarlas,Necesidad de revisar y corregir sugerencias de IA,Inteligencia Artificial,P07
Necesita un sistema de notificaciones que recuerde a los dueños las fechas de vacunación,Recordatorios de vacunación como necesidad,Citas y comunicación con propietarios,P07
"Requiere que la herramienta sea segura y con pocos errores, para no generar problemas con los dueños",Seguridad y baja tasa de errores como requisito,Seguridad,P07
"Prefiere acceder desde laptop o celular, principalmente el celular",Preferencia de acceso móvil y desde laptop,Usabilidad y desempeño,P07
Todo se anota en un cuaderno único sin fichas individuales; cada consulta toma unos 8 minutos,Registro clínico general en cuaderno sin fichas individuales,Historia clínica y gestión de pacientes,P13
"El cuaderno es cronológico, no por paciente, y hay que revisarlo página por página en urgencias",Búsqueda lenta por registro cronológico no individualizado,Historia clínica y gestión de pacientes,P13
El cobro es manual y se anota en un cuaderno de caja aparte; los montos no siempre coinciden al final del día,Cobro manual con diferencias al cierre diario,Gestión administrativa y financiera,P13
