Referencia,Anio,Tipo_estudio,Poblacion,Intervencion,Resultados_principales,Diferencia_con_este_trabajo
Köhl et al.,2019,Conceptual study,N/A,Conceptual framing,First frames explainability explicitly as an NFR,"We operationalize an NFR from primary stakeholder data, not conceptually."
Chazette and Schneider,2020,Conceptual study,N/A,Literature-grounded conceptualization,Establishes explainability as an NFR; identifies elicitation challenges,We report an empirical elicitation and operationalization in a real case.
Chazette et al.,2021,Framework study,N/A,"Definition, model, knowledge catalogue",Provides a conceptual model and dimensions of explainability,We map empirical stakeholder codes onto these dimensions in a specific domain.
Chazette et al.,2022,Framework study,N/A,RE-to-evaluation framework,"Connects requirements analysis, design, and evaluation",We instantiate this life cycle with one verifiable NFR traced to a real use case.
Ahmad et al.,2023,Systematic mapping,43 primary studies (RE4AI corpus),Systematic mapping,"Limited empirical evaluation of ethics, explainability, trust in RE4AI",We contribute an empirical study addressing this gap in an unexplored domain.
Habibullah et al.,2023,Empirical study,ML practitioners,Practitioner-focused empirical investigation,ML systems have NFR quality demands distinct from traditional systems,We isolate explainability specifically and trace it end-to-end via requirements traceability.
Balasubramaniam et al.,2023,Conceptual study,N/A,Conceptual linkage,Connects ethical transparency concerns with requirements,Grounded in primary interview data rather than conceptual argument.
Freyer et al.,2024,Systematic review,Healthcare AI decision-support literature,Secondary synthesis,Synthesizes ethical reasons for explainability in healthcare AI,Veterinary domain; primary empirical (interview) data rather than secondary synthesis.
Mienye et al.,2024,Review,Healthcare XAI literature,Narrative review,Surveys XAI adoption challenges in healthcare,"Primary empirical RE study, not a literature review."
Habiba et al.,2024,Systematic mapping,126 primary studies (RE4AI corpus),Systematic mapping,Identifies explainability and stakeholder gaps in RE4AI,Addresses one identified gap directly with primary stakeholder data.
Heyn et al.,2024,Empirical interview study,10 ML practitioners,Semi-structured interviews,Challenges specifying data/runtime requirements for critical ML systems,"Our interviewees are clinic end users, not ML engineers, and the focus is explainability."
Deters et al.,2024,Framework study,N/A,Literature-review-grounded quality-model construction,Provides a quality model for specifying and evaluating explainability,"We derive requirements directly from open/axial coding of interviews, not a predefined quality model."
Rosenbacke et al.,2024,Systematic review,Clinician-facing XAI studies,Secondary synthesis,Explanation effects on clinician trust are context-dependent,Primary qualitative evidence from a specific (veterinary) clinical context.
Droste et al.,2025,Empirical study,End users of everyday software systems,Taxonomy development and validation,Provides an operational taxonomy of explanation needs,Domain-specific application (AI-assisted veterinary diagnosis) rather than general software.
Obaidi et al.,2025,Empirical comparison study,"2 focus groups, 18 interviews, 188-respondent survey (industrial IT case)","Comparison of interviews, focus groups, and surveys as elicitation methods",Interviews yielded the highest number of distinct explanation needs per participant,"Confirms semi-structured interviews as an effective elicitation method for explainability, used here in a clinical rather than industrial IT setting."
Habiba et al.,2022,Position paper,N/A,Conceptual discussion of RE--XAI synergies,Proposes a user-centric research agenda linking RE practices to XAI challenges,"We provide the empirical, single-case evidence this research agenda calls for."
Habiba et al.,2025,Interview study,ML practitioners,Semi-structured interviews,Diverse interpretations of explainability; communication gaps with non-technical stakeholders,"We interview the non-technical stakeholders directly, not practitioners' perceptions of them."
Sporsem et al.,2026,Longitudinal case study,"Development team and hospital clinicians (Norwegian hospital, paediatric AI system)","18-month longitudinal case study, iterative explanation design","Clinicians trusted the AI system when able to compare predictions against their own assessment (``evaluative requirements''), not when given technical/mechanistic explanations",Veterinary rather than human-paediatric setting; single-round retrospective case study rather than 18-month longitudinal fieldwork.
Xiao et al.,2026,Mixed-methods study,"103 older adults, 105 developers, 41 caregivers (aged-care digital health)","Explainable-ML analysis of survey data, validated with 12 semi-structured interviews",Identifies human aspects driving requirement priorities and misalignment between stakeholder groups,Different vulnerable-population domain (aged care vs. veterinary); we use interviews as the primary elicitation method rather than as a validation step for a quantitative model. \\
