Fragmento,Codigo,Categoria,Requisito_derivado,ID_evidencia,Analista_codificador
"La plataforma se llama PECACMICS... se puede registrar cualquier cuestión de agendar cita, inventario, también se puede agendar la cuestión de fichas médicas.",Uso de plataforma veterinaria integral,Historia clínica,"El sistema deberá integrar en una sola plataforma la gestión de citas, inventario y fichas médicas.",P02,Equipo SGCV-IA
"Si usted escribe algo mal... la M no le va a salir, no va a salir. O le van a salir varios, o a veces se le confunde con una S.",Búsqueda sensible a errores tipográficos,Historia clínica,El sistema deberá contar con un buscador tolerante a errores tipográficos para localizar registros de pacientes.,P02,Equipo SGCV-IA
Hay que ponerse el dato para poder generar la consulta.,Dependencia de datos completos para generar consulta,Facturación,El sistema deberá validar que los datos necesarios del paciente estén completos antes de generar la consulta o factura.,P02,Equipo SGCV-IA
"Va a perjudicar, uno, en la información económica del ingreso, y dos, también... porque hay que preparar dos citas para ese paciente, ahí deja a otro paciente que no pueda.",Impacto económico de inasistencias a citas,Citas,El sistema deberá permitir gestionar listas de espera o reprogramación de citas para reducir el impacto de las cancelaciones e inasistencias.,P02,Equipo SGCV-IA
"La AIM, como está en inventario, si la AIM está en la plataforma, tienes opción de poder hacerlo en inventario, efectivamente.",Control de inventario mediante plataforma,Inventario,"El sistema deberá permitir el control del inventario de medicamentos, incluyendo el registro de fechas de vencimiento.",P02,Equipo SGCV-IA
"Nosotros lo ponemos exactamente en forma física, que me refiero, que son las cartillas... cada consulta que viene se hace el control del peso.",Registro de peso en cartillas físicas,Historia clínica,El sistema deberá permitir digitalizar el registro de peso y estado nutricional en cada consulta para su seguimiento histórico.,P02,Equipo SGCV-IA
"No estoy de acuerdo, porque igual, yo sé que es difícil como tal dar una guía... pero no sería correcto, porque igual cambia siempre, todo de forma diferente, a varios parámetros.",Desacuerdo con diagnóstico automatizado,Inteligencia Artificial,"El sistema de IA deberá limitarse a ofrecer sugerencias generales, dejando el diagnóstico final a criterio del veterinario según los parámetros clínicos observados.",P02,Equipo SGCV-IA
Cuando tengo que hacer una cita que le escribo a un paciente y le avisa... sería muy bueno para el veterinario. Apoyar frecuentemente al guía que directamente le ayude en esa cuestión.,Automatización de recordatorios de citas,Citas,El sistema deberá enviar recordatorios automáticos de citas a los propietarios de las mascotas.,P02,Equipo SGCV-IA
Primero la cuestión de los datos de los pacientes que tienen que estar protegidas. Y la cuestión está de también medios de soporte.,Prioridad en protección de datos y soporte técnico,Seguridad,El sistema deberá garantizar la protección de los datos de los pacientes y ofrecer soporte técnico disponible.,P02,Equipo SGCV-IA
"Puede ser, como te mencionaba, la cuestión de agendar las citas o hacer los recordatorios... a veces uno no puede estar pendiente de esa cuestión.",Prioridad en agenda y recordatorios automáticos,Citas,El sistema deberá priorizar la gestión de la agenda de citas y el envío de recordatorios automáticos a los propietarios.,P02,Equipo SGCV-IA
"Yo diría que en cualquier dispositivo, pero si estamos... por lo general, si le pegamos a la mano el teléfono, el teléfono nos ayuda para hacer unos cientos de cosas.",Preferencia de acceso móvil,Usabilidad,El sistema deberá ser accesible y responsivo desde dispositivos móviles (smartphone).,P02,Equipo SGCV-IA
"Fichas críticas que están impresas y las llenamos... no, todas las tienen ahí (no guardadas en la nube).",Fichas físicas sin respaldo digital,Historia clínica,El sistema deberá digitalizar y almacenar en la nube las fichas clínicas de los pacientes.,P07,Equipo SGCV-IA
"Muchas veces los tutores están muy acelerados porque el animal está muy enfermo, entonces no nos responden las preguntas.",Información incompleta del propietario durante urgencias,Gestión de pacientes,"El sistema deberá permitir el registro rápido de datos parciales del paciente durante situaciones de urgencia, completables posteriormente.",P07,Equipo SGCV-IA
"Nombre, peso, edad, si está esterilizado, si está vacunado, para qué vino, motivo de consulta y los datos del propietario.",Campos estándar de ficha clínica,Historia clínica,"El sistema deberá incluir un formulario estructurado de ficha clínica con campos estándar: nombre, peso, edad, esterilización, vacunación, motivo de consulta y datos del propietario.",P07,Equipo SGCV-IA
"A veces envían una foto y dice, doctor esto sí, pero uno no puede ver qué es lo que tiene. No puede saber si ese medicamento le vaya a servir.",Limitación del diagnóstico remoto mediante fotos,Inteligencia Artificial,"El sistema podrá incorporar un módulo de envío de imágenes como apoyo preliminar, sin sustituir la evaluación presencial del veterinario.",P07,Equipo SGCV-IA
Tal vez el seguimiento de los pacientes que se consigue en la casa.,Necesidad de seguimiento domiciliario,Historia clínica,El sistema deberá permitir registrar y monitorear el seguimiento de pacientes en tratamiento domiciliario.,P07,Equipo SGCV-IA
"Podría ser recordatorios a los dueños... sería como un sistema de notificaciones que le notifica a los dueños que en tal día, a tal hora, tienen que llevar a su mascota para la vacuna.",Prioridad en notificaciones de vacunación,Citas,El sistema deberá enviar notificaciones automáticas a los propietarios sobre fechas de vacunación programadas.,P07,Equipo SGCV-IA
Que sea una herramienta segura... que no tengan muchos errores.,Requisito de seguridad y estabilidad,Seguridad,El sistema deberá garantizar altos niveles de seguridad y estabilidad operativa para evitar fallos en el servicio.,P07,Equipo SGCV-IA
La laptop o el celular. Aquí como doctor... se usa más.,Preferencia de acceso vía laptop y celular,Usabilidad,El sistema deberá ser compatible con el acceso desde laptop y teléfono móvil.,P07,Equipo SGCV-IA
Todo se anota en un solo cuaderno de consultas... no hay fichas individuales por paciente,"Registro en cuaderno único cronológico, sin fichas individuales por paciente",Historia clínica,El sistema deberá organizar el registro por paciente en lugar de por orden cronológico de llegada.,P13,Marcillo (Analista Líder)
El cuaderno es cronológico y no por paciente... hay que revisar página por página,Búsqueda página por página por registro cronológico no organizado,Historia clínica,"El sistema deberá permitir búsqueda directa por paciente, sin depender del orden cronológico del registro.",P13,Marcillo (Analista Líder)
Los montos no coinciden al final del día... toca revisar todo desde el principio,Descuadre de caja por doble registro manual separado,Facturación,El sistema deberá unificar el registro de cobro y caja para evitar descuadres por doble anotación manual.,P13,Marcillo (Analista Líder)
No hay un control formal del inventario... se revisa a ojo,"Ausencia de control formal de inventario, revisión visual",Inventario,El sistema deberá reemplazar la revisión visual de inventario por un registro formal con alertas.,P13,Marcillo (Analista Líder)
