Fragmento,Codigo,Categoria,Requisito_derivado,ID_evidencia,Analista_codificador
"Por medio de hojas de historial clínico, tanto físicos... Se usa un pequeño software veterinario, pero es como para lo básico, ingresar el paciente, motivo de consulta y todo eso. Solo los datos del paciente.",Historial mixto físico-digital básico,Historia clínica,"El sistema deberá permitir registrar el historial clínico completo del paciente (motivo de consulta, diagnósticos y tratamientos) de forma digital y centralizada.",P01,Equipo SGCV-IA
"Claro que te demora más buscando el nombre del paciente... el software solamente es básico. Entonces, le permite solamente ver el nombre de edad y razones anteriores de consulta. Más los tratamientos completos cuando están en las carpetas físicas.",Demora en búsqueda de historial,Historia clínica,"El sistema deberá permitir buscar y consultar rápidamente el historial clínico completo, incluyendo los tratamientos, mediante el nombre del paciente.",P01,Equipo SGCV-IA
"Cuando no está la secretaria, suelo demorarme más porque tengo yo que hacer el trabajo de la secretaria, de despachar, coger datos para facturación.",Sobrecarga en facturación sin personal,Facturación,El sistema deberá agilizar el proceso de despacho de productos y facturación para reducir el tiempo requerido cuando no hay personal administrativo disponible.,P01,Equipo SGCV-IA
"El inventario una vez a la semana, todos los sábados. Se lleva un control físico y también por el sistema de facturación.",Control de inventario semanal manual,Inventario,El sistema deberá permitir el registro y control periódico del inventario de medicamentos e insumos.,P01,Equipo SGCV-IA
"Por lo general no se hace con cita previa. O sea, sí es rara vez... pero por lo general llegan y es cita previa. Llegan, esperan.",Atención con y sin cita previa,Citas,El sistema deberá permitir gestionar tanto la atención con cita previa como la atención por orden de llegada.,P01,Equipo SGCV-IA
Por vía WhatsApp y por próxima citación. Entonces yo igual hago el seguimiento de mis pacientes.,Comunicación vía WhatsApp,Comunicación,El sistema deberá permitir registrar y gestionar el seguimiento de pacientes y la comunicación con los propietarios mediante recordatorios de citas.,P01,Equipo SGCV-IA
"Entonces cambia dependiendo de la patología que le presente el paciente. Por ejemplo, enfermedades renales... dos veces a la semana. Cuando son menos complicadas, una vez a la semana.",Seguimiento clínico variable según patología,Historia clínica,El sistema deberá permitir configurar frecuencias de control y seguimiento personalizadas según la patología de cada paciente.,P01,Equipo SGCV-IA
Creo que será en un 30 o un 40%. Lamentablemente.,Bajo cumplimiento de indicaciones médicas,Comunicación,"El sistema deberá enviar recordatorios automáticos a los propietarios sobre las indicaciones médicas (medicación, dieta, controles) para mejorar su cumplimiento.",P01,Equipo SGCV-IA
"No lo hago sin verlo físicamente. Tengo que verle al paciente primero... tráiganme al paciente, yo chequeo, reviso.",Diagnóstico remoto no aceptado sin evaluación física,Inteligencia Artificial,El sistema no deberá sustituir la evaluación física del paciente por recomendaciones remotas automatizadas de ajuste de tratamiento.,P01,Equipo SGCV-IA
"Ahorita te facilita mucho realmente la tecnología, pones el medicamento y te reajusta dosis con el peso, sin yo necesitar hacer todo el cálculo físico.",Cálculo asistido de dosis por peso,Inteligencia Artificial,El sistema deberá incluir una función de cálculo automático de dosis de medicamentos en función del peso del paciente.,P01,Equipo SGCV-IA
Medianamente de acuerdo... en estas cosas de medicina yo siempre digo que es importantísimo valorar al paciente.,Aceptación moderada de IA diagnóstica,Inteligencia Artificial,"El sistema de IA deberá presentar sugerencias diagnósticas como apoyo complementario, sin reemplazar la valoración clínica del veterinario.",P01,Equipo SGCV-IA
"La ley administrativa. Todo lo que es facturación, metas, inventario. Para mí eso es tedioso... es lo que más me lleva tiempo, más me lleva estrés.",Carga administrativa alta,Administración,El sistema deberá automatizar tareas administrativas (facturación e inventario) para reducir la carga de trabajo del veterinario.,P01,Equipo SGCV-IA
